No_Wires,UnilayCenterDia,PairsCenterDia,ConcentricCenterDia,Layup,Unilay_Dia,Concentric_Dia,Pairs_Dia,AreaOutsideInterstice,DiaFitOutInterstice,AreaCenterInterstice,DiaFitCenterInterstice
1,0,1,0,1,1,1,2,0.107,0.25,,
2,1,2.2,1,2,2,2,3.2,0.785,0.667,,
3,1.155,2.48,1.155,3,2.155,2.155,3.48,0.417,0.483,0.0403,0.155
4,1.414,2.91,1.414,4,2.414,2.414,3.91,0.305,0.414,0.215,0.414
5,1.701,3.43,1.701,f+5,2.701,2.701,4.43,0.252,0.378,0.542,0.701
6,2,3.91,2,f+6,3,3,4.91,0.221,0.354,1.027,1
7,2,4.26,2,1+6,3,3,5.26,0.221,0.354,,
8,2.305,4.49,2.305,(1+f)+7,3.305,3.305,5.49,0.201,0.339,,
9,2.613,5,2.613,(1+f)+8,3.613,3.613,6,0.187,0.327,,
10,2.828,5.35,3,(2+2f)+8,3.828,4,6.35,0.284,0.41,,
11,2.924,5.51,3,(2+2f)+9,3.924,4,6.51,,,,
12,3.03,5.51,3.155,3+9,4.03,4.155,6.51,0.227,0.361,,
13,3.195,5.96,3.414,4+(9+f),4.195,4.414,6.96,,,,
14,3.236,6.03,3.414,4+10,4.236,4.414,7.03,0.202,0.34,,
15,3.521,6.5,3.701,f+5+(10+f),4.521,4.701,7.5,,,,
16,3.553,6.56,3.701,f+5+11,4.553,4.701,7.56,0.188,0.328,,
17,3.842,7,4,1+6+(10+2f),4.842,5,8,,,,
18,3.82,7.04,4,1+6+(11+f),4.82,5,8.04,,,,
19,3.864,7.07,4,1+6+12,4.864,5,8.07,0.178,0.319,,
20,4.458,7.6,4.305,f+7+13,5.458,5.305,8.6,0.17,0.312,,
21,4.179,7.6,4.305,(1+f)+7+13,5.179,5.305,8.6,,,,
22,4.179,8.06,4.613,(1+f)+8+13,5.179,5.613,9.06,,,,
23,4.458,8.12,4.613,(1+f)+8+14,5.458,5.613,9.12,,,,
24,4.494,8.41,5,(1+2f)+8+14,5.494,6,9.41,0.215,0.354,,
25,4.666,8.41,5.155,3+9+(13+2f),5.666,6.155,9.41,,,,
26,4.856,8.72,5.155,3+9+(14+f),5.856,6.155,9.72,,,,
27,4.879,8.76,5.155,3+9+15,5.879,6.155,9.76,0.187,0.328,,
28,5.044,9.03,5.414,4+10+(14+2f),6.044,6.414,10.03,,,,
29,5.065,9.07,5.414,4+10+(15+f),6.065,6.414,10.07,,,,
30,5.126,9.17,5.414,4+10+6,6.126,6.414,10.17,0.175,0.317,,
31,5.363,9.56,5.701,f+5+11+(15+2f),6.363,6.701,10.56,,,,
32,5.383,9.6,5.701,f+5+11+(16+f),6.383,6.701,10.6,0.168,0.31,,
33,5.442,9.69,5.701,f+5+11+17,6.442,6.701,10.69,,,,
34,5.652,10.04,6,1+6+12+(15+3f),6.652,7,11.04,,,,
35,5.67,10.07,6,1+6+12+(16+3f),6.67,7,11.07,,,,
36,5.689,10.1,6,1+6+12+(17+3f),6.689,7,11.1,,,,
37,5.759,10.22,6,1+6+12+18,6.759,7,11.22,0.162,0.305,,
38,5.981,10.59,6.305,(1+f)+7+13+(17+2f),6.981,7.305,11.59,,,,
39,5.999,10.62,6.305,(1+f)+7+13+(18+2f),6.999,7.305,11.62,,,,
40,6.076,10.75,6.305,(1+f)+7+13+19,7.076,7.305,11.75,,,,
41,6.429,11.33,7,(2+2f)+8+14+(17+3f),7.429,8,12.33,,,,
42,6.447,11.36,7,(2+2f)+8+14+(18+2f),7.447,8,12.36,,,,
43,6.464,11.39,7,(2+2f)+8+14+(19+f),7.464,8,12.39,,,,
44,6.482,11.42,7,(2+2f)+8+14+20,7.482,8,12.42,,,,
45,6.651,11.7,7.155,3+9+15+(18+3f),7.651,8.155,12.7,,,,
46,6.667,11.73,7.155,3+9+15+(19+2f),7.667,8.155,12.73,,,,
47,6.684,11.76,7.155,3+9+15+(20+f),7.684,8.155,12.76,,,,
48,6.71,11.8,7.155,3+9+15+21,7.71,8.155,12.8,,,,
49,6.903,12.12,7.414,4+10+16+(19+3f),7.903,8.414,13.12,,,,
50,6.918,12.14,7.414,4+10+16+(20+2f),7.918,8.414,13.14,,,,
