Item,Description,Specific Gravity
483005,CMPD EHD NEOPRENE 0512 REV.7  FIN,1.40
483006,CMPD GENFLAM XLPO 2580 RED,1.49
483008,CMPD GENFLAM XLPO 2275 WHITE,1.48
483009,CMPD GENFLAM XLPO 2286 BLACK,1.46
483010,,1.38
483011,,1.48
483012,CMPD XLPE 0581 (STRAND SHIELD),1.13
483013,CMPD TPR SANTOPRENE #203-40 NATURAL,0.94
483014,CMPD GENFLAM XLPO-2 2600 BLUE,1.48
483032,"CMPD PVC, APEX 1175  CLEAR BLUE",1.22
483048,CMPD PROFAX 7823 HI-IMPACT NAT,0.90
483056,CMPD EHD CPE 4151-14 BLACK,1.33
483057,CMPD EHD CPE 4157-14 BLUE,1.35
483061,CMPD EHD CPE 4153-15 YELLOW,1.35
483064,CMPD EHD CPE 4157-15 BLUE,1.38
483082,CMPD TP UCC DFDA-1638 LSNH NAT,1.50
483083,CMPD GENFLAM OH-2 2289 BLACK,1.48
483084,CMPD GENDON OH-2 2309 NATURAL,1.47
483093,CMPD P/U NONFR BASF 1185A10U NAT,1.12
483101,CMPD GEXOL 1200 XLPO-LF NAT,1.38
483111,CMPD EHD CPE 4171-14 GREEN,1.34
483122,CMPD EHD CPE 4152-15 FR.LT.GRAY,1.41
483144,CMPD EP Superohm 4863 V,1.35
483200,CMPD TPR ELEXAR 8451 NATURAL,0.99
483201,,1.16
483202,CMPD ESTANE POLYURETHANE 58202 NAT.,1.25
483206,CMPD EHD CPE 4151-15 BLACK,1.37
483315,,1.18
483503,CMPD EP 100 MV90 (3728),1.21
483611,CMPD HD-CPE REV.2  591,1.38
483620,CMPD UCC 6525 XLPO NATURAL,1.48
483710,LFH 400 Jacket,1.55
483720,ENGINEERING -- CMPD LFH400 GREEN,1.56
483730,ENGINEERING -- CMPD EEP 92 (Black) Insulation,1.51
483800,CMPD TPR FOR FILLERS #251-85W232,1.14
483805,CMPD HD CPE 4220 - 3,1.44
483810,CMPD HD NATURAL RUBBER 5390-2 FIN,1.16
483814,,0.92
483815,INACTIVE -- CMPD PVC NORAPLAS 12880 NATURAL,1.45
483835,CMPD HD CPE 4180,1.43
483836,CMPD HD CPE 4170 BLACK,1.45
483842,CMPD EP 1140-2 STRIPS BLACK,1.31
483846,CMPD HD CPE 4227 GRAY,1.46
483848,CMPD HD CPE 4223-2 ORANGE,1.44
483853,,1.31
483854,,1.31
483855,,1.31
483856,,1.33
483857,,1.33
483858,,1.37
483859,CMPD PVC FLEXALLOY 9605--70FR  NAT,1.32
483860,,1.12
483861,CMPD SANTOPRENE TPE 5345,1.22
483863,CMPD HD CPE 4225-3 YELLOW,1.44
483866,CMPD HD CPE 4200-2 BLACK,1.32
483869,CMPD HD NBR /  PVC 6200,1.36
483870,CMPD EHD CPE 4153-14 YELLOW,1.35
483871,CMPD EHD CPE 4161-14 RED,1.35
483872,CMPD EHD CPE 4154-14 ORANGE,1.35
483877,CMPD 1393 REVISION THREE NAT,1.53
483879,PROTOTYPE - CMPD HNBR / 2300,1.20
483880,CMPD HD CPE 4202 FR RED,1.47
483881,CMPD HD CPE 4203FR ORANGE,1.46
483883,CMPD HD CPE 4205FR YELLOW,1.48
483884,CMPD HD CPE 4206FR BLUE,1.47
483889,CMPD HD NBR/PVC 6215-2 YELLOW,1.43
483890,CMPD GENDON CODE 2504 GENFIL XLBD-LMI BEDDING,1.58
483890,CMPD GENDON CODE 2504 GENFIL XLBD-LMI BEDDING,1.58
483890,CMPD GENDON CODE 2504 GENFIL XLBD-LMI BEDDING,1.58
483893,CMPD POLYONE JB593KB  NATURAL,1.43
483894,,1.31
483895,CMPD LSNH  EVA-8130 BLACK,1.62
483896,CMPD LSNH  EVA-8136 BLUE,1.62
483898,CMPD LSNH  EVA-8137 GRAY,1.62
483899,CMPD LSNH  EVA-8132-1 RED,1.62
483909,PROTOTYPE - CMPD ENGINEERING SC TPU TBD,0.00
483916,CMPD PVC NEXANS 7589-00 NATURAL,1.43
483950,CMPD GENFLAM BEDDING 2400,1.58
483954,CMPD EP 3728NL,1.20
483956,CMPD CPE SC 4250,1.26
483957,OBSOLETE -- CMPD HD CPE 4200 - 5 BLACK,1.28
483958,CMPD PC0787 F/F XLPE BOREALIS,1.22
483959,CMPD HD CPE 4190,1.45
483965,CMPD EHD BLACK CPE 4340,1.32
483971,CMPD ECC SuperOhm 3455,1.50
483972,CMPD EHD NEOPRENE 0230,1.47
483974,CMPD EHD CPE 4345 YELLOW,1.32
483975,CMPD EHD CPE 4343 ORANGE,1.32
483976,CMPD EHD CPE 4344 GREEN,1.32
483979,CMPD HD-CPE REV.3  591,1.38
483980,CMPD SC -  NEOPRENE,1.32
483982,CMPD EHD CPE 4260,1.35
4832721,EEN 890 Black,1.50
4832722,"CMPD EP LGH77, Jacket",1.36
4832734,EEN 890 Green,1.51
4832988,CMPD GenNex DS 3350 Natural,1.38
Lead,,11.34
